stop_id,stop_name,stop_desc,platform_code,ja-Hrkt,en,zh-Hans,zh-Hant,ko,Flat,Comm Pass,Ward
197200,鳴滝本町,鳴滝本町(西行),,なるたきほんまち,Narutaki Honmachi,鸣泷本町,鳴瀧本町,나루타키혼마치,0,1,右
198100,府立体育館前,府立体育館前(東行),,ふりつたいいくかんまえ,Furitsu Taiikukan-mae (SHIMADZU ARENA KYOTO),府立体育馆前（岛津ARENA京都前）,府立體育館前（島津ARENA京都前）,후리쓰타이이쿠칸마에（시마즈 아레나 교토마에）,0,1,北
198200,府立体育館前,府立体育館前(西行),,ふりつたいいくかんまえ,Furitsu Taiikukan-mae (SHIMADZU ARENA KYOTO),府立体育馆前（岛津ARENA京都前）,府立體育館前（島津ARENA京都前）,후리쓰타이이쿠칸마에（시마즈 아레나 교토마에）,0,1,北
199300,大将軍,大将軍(南行),,たいしょうぐん,Taishogun,大将军,大將軍,다이쇼군,0,1,北
199400,大将軍,大将軍(北行),B,たいしょうぐん,Taishogun,大将军,大將軍,다이쇼군,0,1,北
200100,丸太町智恵光院,丸太町智恵光院(東行),,まるたまちちえこういん,Marutamachi Chiekoin,丸太町智恵光院,丸太町智恵光院,마루타마치치에코인,0,1,上
200200,丸太町智恵光院,丸太町智恵光院(西行),,まるたまちちえこういん,Marutamachi Chiekoin,丸太町智恵光院,丸太町智恵光院,마루타마치치에코인,0,1,上
201100,文化庁前・府庁前,文化庁前・府庁前(東行),A,ぶんかちょうまえ・ふちょうまえ,"Bunkacho-mae / Fucho-mae(Agency for Cultural Affairs, Government of Japan / Prefectural Office)",文化厅前・府厅前,文化廳前・府廳前,분카초마에・후초마에 （일본 문화청•교토부청）,0,1,中
201200,文化庁前・府庁前,文化庁前・府庁前(西行),B,ぶんかちょうまえ・ふちょうまえ,"Bunkacho-mae / Fucho-mae(Agency for Cultural Affairs, Government of Japan / Prefectural Office)",文化厅前・府厅前,文化廳前・府廳前,분카초마에・후초마에 （일본 문화청•교토부청）,0,1,中
202100,裁判所前,裁判所前(東行),,さいばんしょまえ,Saibansho-mae(Court),裁判所前（法院）,裁判所前（法院）,사이반쇼마에（법원）,0,1,上
202200,裁判所前,裁判所前(西行),B,さいばんしょまえ,Saibansho-mae(Court),裁判所前（法院）,裁判所前（法院）,사이반쇼마에（법원）,0,1,中
